leasecarId,make,model,duration,mileage,pricePerMonth
377190,Citroen,ë-C3,72,10000,394.0
377190,Citroen,ë-C3,24,12500,609.0
377190,Citroen,ë-C3,36,12500,509.0
377190,Citroen,ë-C3,48,12500,459.0
377190,Citroen,ë-C3,60,12500,434.0
377190,Citroen,ë-C3,72,12500,409.0
377190,Citroen,ë-C3,24,15000,624.0
377190,Citroen,ë-C3,36,15000,524.0
377190,Citroen,ë-C3,48,15000,474.0
377190,Citroen,ë-C3,60,15000,449.0
377190,Citroen,ë-C3,72,15000,424.0
377190,Citroen,ë-C3,24,17500,639.0
377190,Citroen,ë-C3,36,17500,539.0
377190,Citroen,ë-C3,48,17500,489.0
377190,Citroen,ë-C3,60,17500,464.0
377190,Citroen,ë-C3,72,17500,439.0
377190,Citroen,ë-C3,24,20000,654.0
377190,Citroen,ë-C3,36,20000,554.0
377190,Citroen,ë-C3,48,20000,504.0
377190,Citroen,ë-C3,60,20000,479.0
377190,Citroen,ë-C3,72,20000,454.0
377190,Citroen,ë-C3,24,25000,684.0
377190,Citroen,ë-C3,36,25000,584.0
377190,Citroen,ë-C3,48,25000,534.0
377190,Citroen,ë-C3,60,25000,509.0
377190,Citroen,ë-C3,72,25000,484.0
377190,Citroen,ë-C3,24,30000,714.0
377190,Citroen,ë-C3,36,30000,614.0
377190,Citroen,ë-C3,48,30000,564.0
377190,Citroen,ë-C3,60,30000,539.0
377190,Citroen,ë-C3,72,30000,514.0
377190,Citroen,ë-C3,24,35000,744.0
377190,Citroen,ë-C3,36,35000,644.0
377190,Citroen,ë-C3,48,35000,594.0
377190,Citroen,ë-C3,60,35000,569.0
377190,Citroen,ë-C3,72,35000,544.0
377190,Citroen,ë-C3,24,40000,774.0
377190,Citroen,ë-C3,36,40000,674.0
377190,Citroen,ë-C3,48,40000,624.0
377190,Citroen,ë-C3,60,40000,599.0
377190,Citroen,ë-C3,72,40000,574.0
377192,Fiat,500e,24,5000,609.0
377192,Fiat,500e,36,5000,489.0
377192,Fiat,500e,48,5000,449.0
377192,Fiat,500e,60,5000,409.0
377192,Fiat,500e,72,5000,369.0
377192,Fiat,500e,24,7500,619.0
377192,Fiat,500e,36,7500,499.0
377192,Fiat,500e,48,7500,459.0
377192,Fiat,500e,60,7500,419.0
377192,Fiat,500e,72,7500,379.0
377192,Fiat,500e,24,10000,629.0
377192,Fiat,500e,36,10000,509.0
377192,Fiat,500e,48,10000,469.0
377192,Fiat,500e,60,10000,429.0
377192,Fiat,500e,72,10000,389.0
377192,Fiat,500e,24,12500,644.0
377192,Fiat,500e,36,12500,524.0
377192,Fiat,500e,48,12500,484.0
377192,Fiat,500e,60,12500,444.0
377192,Fiat,500e,72,12500,404.0
377192,Fiat,500e,24,15000,659.0
377192,Fiat,500e,36,15000,539.0
377192,Fiat,500e,48,15000,499.0
377192,Fiat,500e,60,15000,459.0
377192,Fiat,500e,72,15000,419.0
377192,Fiat,500e,24,17500,674.0
377192,Fiat,500e,36,17500,554.0
377192,Fiat,500e,48,17500,514.0
377192,Fiat,500e,60,17500,474.0
377192,Fiat,500e,72,17500,434.0
377192,Fiat,500e,24,20000,689.0
377192,Fiat,500e,36,20000,569.0
377192,Fiat,500e,48,20000,529.0
377192,Fiat,500e,60,20000,489.0
377192,Fiat,500e,72,20000,449.0
377192,Fiat,500e,24,25000,719.0
377192,Fiat,500e,36,25000,599.0
377192,Fiat,500e,48,25000,559.0
377192,Fiat,500e,60,25000,519.0
377192,Fiat,500e,72,25000,479.0
377192,Fiat,500e,24,30000,749.0
377192,Fiat,500e,36,30000,629.0
377192,Fiat,500e,48,30000,589.0
377192,Fiat,500e,60,30000,549.0
377192,Fiat,500e,72,30000,509.0
377191,Citroen,ë-C3 Aircross,24,5000,589.0
377191,Citroen,ë-C3 Aircross,36,5000,489.0
377191,Citroen,ë-C3 Aircross,48,5000,439.0
377191,Citroen,ë-C3 Aircross,60,5000,414.0
377191,Citroen,ë-C3 Aircross,72,5000,389.0
377191,Citroen,ë-C3 Aircross,24,7500,601.0
377191,Citroen,ë-C3 Aircross,36,7500,501.0
377191,Citroen,ë-C3 Aircross,48,7500,451.0
377191,Citroen,ë-C3 Aircross,60,7500,426.0
377191,Citroen,ë-C3 Aircross,72,7500,401.0
377191,Citroen,ë-C3 Aircross,24,10000,614.0
377191,Citroen,ë-C3 Aircross,36,10000,514.0
377191,Citroen,ë-C3 Aircross,48,10000,464.0
377191,Citroen,ë-C3 Aircross,60,10000,439.0
377191,Citroen,ë-C3 Aircross,72,10000,414.0
377191,Citroen,ë-C3 Aircross,24,12500,631.0
377191,Citroen,ë-C3 Aircross,36,12500,531.0
377191,Citroen,ë-C3 Aircross,48,12500,481.0
377191,Citroen,ë-C3 Aircross,60,12500,456.0
377191,Citroen,ë-C3 Aircross,72,12500,431.0
377191,Citroen,ë-C3 Aircross,24,15000,648.0
377191,Citroen,ë-C3 Aircross,36,15000,548.0
377191,Citroen,ë-C3 Aircross,48,15000,498.0
377191,Citroen,ë-C3 Aircross,60,15000,473.0
377191,Citroen,ë-C3 Aircross,72,15000,448.0
377191,Citroen,ë-C3 Aircross,24,17500,665.0
377191,Citroen,ë-C3 Aircross,36,17500,565.0
377191,Citroen,ë-C3 Aircross,48,17500,515.0
377191,Citroen,ë-C3 Aircross,60,17500,490.0
377191,Citroen,ë-C3 Aircross,72,17500,465.0
377191,Citroen,ë-C3 Aircross,24,20000,682.0
377191,Citroen,ë-C3 Aircross,36,20000,582.0
377191,Citroen,ë-C3 Aircross,48,20000,532.0
377191,Citroen,ë-C3 Aircross,60,20000,507.0
377191,Citroen,ë-C3 Aircross,72,20000,482.0
377191,Citroen,ë-C3 Aircross,24,25000,712.0
377191,Citroen,ë-C3 Aircross,36,25000,612.0
377191,Citroen,ë-C3 Aircross,48,25000,562.0
377191,Citroen,ë-C3 Aircross,60,25000,537.0
377191,Citroen,ë-C3 Aircross,72,25000,512.0
377191,Citroen,ë-C3 Aircross,24,30000,742.0
377191,Citroen,ë-C3 Aircross,36,30000,642.0
377191,Citroen,ë-C3 Aircross,48,30000,592.0
377191,Citroen,ë-C3 Aircross,60,30000,567.0
377191,Citroen,ë-C3 Aircross,72,30000,542.0
377191,Citroen,ë-C3 Aircross,24,35000,772.0
377191,Citroen,ë-C3 Aircross,36,35000,672.0
377191,Citroen,ë-C3 Aircross,48,35000,622.0
377191,Citroen,ë-C3 Aircross,60,35000,597.0
377191,Citroen,ë-C3 Aircross,72,35000,572.0
377191,Citroen,ë-C3 Aircross,24,40000,802.0
377191,Citroen,ë-C3 Aircross,36,40000,702.0
377191,Citroen,ë-C3 Aircross,48,40000,652.0
377191,Citroen,ë-C3 Aircross,60,40000,627.0
377191,Citroen,ë-C3 Aircross,72,40000,602.0
377201,Peugeot,2008,24,5000,469.0
377201,Peugeot,2008,36,5000,449.0
377201,Peugeot,2008,48,5000,429.0
377201,Peugeot,2008,60,5000,409.0
377201,Peugeot,2008,72,5000,389.0
377201,Peugeot,2008,24,7500,484.0
377201,Peugeot,2008,36,7500,464.0
377201,Peugeot,2008,48,7500,444.0
377201,Peugeot,2008,60,7500,424.0
377201,Peugeot,2008,72,7500,404.0
377201,Peugeot,2008,24,10000,499.0
377201,Peugeot,2008,36,10000,479.0
377201,Peugeot,2008,48,10000,459.0
377201,Peugeot,2008,60,10000,439.0
377201,Peugeot,2008,72,10000,419.0
377201,Peugeot,2008,24,12500,521.0
377201,Peugeot,2008,36,12500,501.0
377201,Peugeot,2008,48,12500,481.0
377201,Peugeot,2008,60,12500,461.0
377201,Peugeot,2008,72,12500,441.0
377201,Peugeot,2008,24,15000,543.0
377201,Peugeot,2008,36,15000,523.0
377201,Peugeot,2008,48,15000,503.0
377201,Peugeot,2008,60,15000,483.0
377201,Peugeot,2008,72,15000,463.0
377201,Peugeot,2008,24,17500,565.0
377201,Peugeot,2008,36,17500,545.0
377201,Peugeot,2008,48,17500,525.0
377201,Peugeot,2008,60,17500,505.0
377201,Peugeot,2008,72,17500,485.0
377201,Peugeot,2008,24,20000,587.0
377201,Peugeot,2008,36,20000,567.0
377201,Peugeot,2008,48,20000,547.0
377201,Peugeot,2008,60,20000,527.0
